AdjChg,2025-03-19T05:29:53.382104,192.168.100.2,IPv4,0.0.0.0,192.168.100.1,Exstart,Exchange
AdjChg,2025-03-19T05:29:53.382578,192.168.100.1,IPv4,0.0.0.0,2.2.2.2,Exstart,Exchange
AdjChg,2025-03-19T05:29:53.383635,192.168.100.2,IPv4,0.0.0.0,192.168.100.1,Exchange,Loading
AdjChg,2025-03-19T05:29:53.383836,192.168.100.1,IPv4,0.0.0.0,2.2.2.2,Exchange,Full
AdjChg,2025-03-19T05:29:53.384130,192.168.100.2,IPv4,0.0.0.0,192.168.100.1,Loading,Full
IF_ELIG_BCAST_UP,2025-03-19T05:29:57.686586,FE80::800:901:4D3:7B05,IPv6,0.0.0.0
IF_ELIG_BCAST_UP,2025-03-19T05:29:57.906490,FE80::800:901:476:726,IPv6,0.0.0.0
AdjChg,2025-03-19T05:29:57.907731,FE80::800:901:4D3:7B05,IPv6,0.0.0.0,10.10.10.2,Down,Init
AdjChg,2025-03-19T05:30:06.296084,192.168.100.1,IPv4,0.0.0.0,192.168.100.2,Two-way,Exstart
AdjChg,2025-03-19T05:30:06.588204,192.168.100.2,IPv4,0.0.0.0,192.168.100.1,Two-way,Exstart
AdjChg,2025-03-19T05:30:06.589661,192.168.100.1,IPv4,0.0.0.0,192.168.100.2,Exstart,Exchange
AdjChg,2025-03-19T05:30:06.590174,192.168.100.2,IPv4,0.0.0.0,192.168.100.1,Exstart,Exchange
AdjChg,2025-03-19T05:30:06.590788,192.168.100.1,IPv4,0.0.0.0,192.168.100.2,Exchange,Loading
AdjChg,2025-03-19T05:30:06.591511,192.168.100.2,IPv4,0.0.0.0,192.168.100.1,Exchange,Full
AdjChg,2025-03-19T05:30:06.591765,192.168.100.1,IPv4,0.0.0.0,192.168.100.2,Loading,Full
AdjChg,2025-03-19T05:30:07.220686,192.168.100.2,IPv4,0.0.0.0,192.168.100.1,Full,Down
IF_INTERFACE_DOWN,2025-03-19T05:30:07.220769,192.168.100.2,IPv4,0.0.0.0
AdjChg,2025-03-19T05:30:07.687369,FE80::800:901:476:726,IPv6,0.0.0.0,10.10.10.1,Down,Init
AdjChg,2025-03-19T05:30:07.687443,FE80::800:901:476:726,IPv6,0.0.0.0,10.10.10.1,Init,Two-way
AdjChg,2025-03-19T05:30:07.907156,FE80::800:901:4D3:7B05,IPv6,0.0.0.0,10.10.10.2,Init,Two-way
IF_ELIG_BCAST_UP,2025-03-19T05:30:08.220095,192.168.100.2,IPv4,0.0.0.0
AdjChg,2025-03-19T05:30:08.221522,192.168.100.1,IPv4,0.0.0.0,2.2.2.2,Full,Init
AdjChg,2025-03-19T05:30:16.296784,192.168.100.2,IPv4,0.0.0.0,192.168.100.1,Down,Init
AdjChg,2025-03-19T05:30:16.297389,192.168.100.2,IPv4,0.0.0.0,192.168.100.1,Init,Two-way
AdjChg,2025-03-19T05:30:16.297474,192.168.100.2,IPv4,0.0.0.0,192.168.100.1,Two-way,Exstart
AdjChg,2025-03-19T05:30:16.298126,192.168.100.1,IPv4,0.0.0.0,2.2.2.2,Init,Two-way
AdjChg,2025-03-19T05:30:16.298199,192.168.100.1,IPv4,0.0.0.0,2.2.2.2,Two-way,Exstart
AdjChg,2025-03-19T05:30:16.298891,192.168.100.2,IPv4,0.0.0.0,192.168.100.1,Exstart,Exchange
AdjChg,2025-03-19T05:30:16.299233,192.168.100.1,IPv4,0.0.0.0,2.2.2.2,Exstart,Exchange
AdjChg,2025-03-19T05:30:16.299932,192.168.100.2,IPv4,0.0.0.0,192.168.100.1,Exchange,Loading
AdjChg,2025-03-19T05:30:16.300272,192.168.100.1,IPv4,0.0.0.0,2.2.2.2,Exchange,Full
